id,parent,name,common,rank,level,obs_worldwide
48486,471714,Coccinellidae,Lady Beetles,family,30,616619
333790,48486,Coccinellinae,Common Lady Beetles,subfamily,27,532384
333796,333790,Coccinellini,Black-spotted Lady Beetles,tribe,25,508237
48487,333796,Harmonia,Greater Lady Beetles,genus,20,207908
48484,48487,Harmonia axyridis,Asian Lady Beetle,species,10,197367
51703,333796,Coccinella,Coccinella,genus,20,113240
51702,51703,Coccinella septempunctata,Seven-spotted Lady Beetle,species,10,96470
48988,333796,Hippodamia,Oblong Lady Beetles,genus,20,45394
48987,48988,Hippodamia convergens,Convergent Lady Beetle,species,10,27139
55490,333796,Cycloneda,Spotless Lady Beetles,genus,20,23694
631924,333790,Halyziini,Halyziini,tribe,25,22098
354547,48486,Chilocorinae,Scale-feeding Lady Beetles,subfamily,27,21745
373659,354547,Chilocorini,Chilocorini,tribe,25,19297
54467,631924,Psyllobora,Fungus-eating Lady Beetles,genus,20,16683
332663,48486,Epilachninae,Epilachninae,subfamily,27,16257
61533,333796,Propylea,Propylea,genus,20,15773
373697,332663,Epilachnini,Plant-eating Lady Beetles,tribe,25,15634
61532,61533,Propylea quatuordecimpunctata,Fourteen-spotted Lady Beetle,species,10,14913
52507,333796,Adalia,Adalia,genus,20,14559
124431,55490,Cycloneda sanguinea,Spotless Lady Beetle,species,10,13697
126268,333796,Coleomegilla,Coleomegilla,genus,20,11956
126267,126268,Coleomegilla maculata,Spotted Pink Ladybeetle,species,10,11584
354096,48486,Scymninae,Scymninae,subfamily,27,11449
143034,48988,Hippodamia variegata,Variegated Lady Beetle,species,10,10891
68761,373659,Chilocorus,Twice-stabbed Lady Beetles,genus,20,10462
51660,54467,Psyllobora vigintiduopunctata,22-spot Ladybird,species,10,10135
52506,52507,Adalia bipunctata,Two-spotted Lady Beetle,species,10,9890
473856,48486,Coccidulinae,Coccidulinae,subfamily,27,8855
123830,333796,Cheilomenes,Cheilomenes,genus,20,7845
154560,373697,Epilachna,Epilachna,genus,20,6415
173177,333796,Anatis,Giant Lady Beetles,genus,20,6234
319910,123830,Cheilomenes sexmaculata,Six-spotted Zigzag Ladybird,species,10,5930
69204,333796,Calvia,Calvia,genus,20,5843
176546,333796,Olla,Olla,genus,20,5526
313246,176546,Olla v-nigrum,Ashy Gray Lady Beetle,species,10,5386
61791,373697,Henosepilachna,Henosepilachna,genus,20,4901
244085,473856,Cryptolaemus,Cryptolaemus,genus,20,4605
333708,333796,Coelophora,Coelophora,genus,20,4598
349064,51703,Coccinella transversalis,Small Transverse Ladybird Beetle,species,10,4408
52877,631924,Halyzia,Halyzia,genus,20,4355
52881,52877,Halyzia sedecimguttata,Orange Ladybird,species,10,4296
243969,373659,Exochomus,Exochomus,genus,20,4287
373667,473856,Coccidulini,Coccidulini,tribe,25,4186
55489,55490,Cycloneda munda,Polished Lady Beetle,species,10,4153
210509,48487,Harmonia conformis,Large Spotted Ladybird,species,10,4152
130414,52507,Adalia decempunctata,10-spot Ladybird,species,10,3869
118967,54467,Psyllobora vigintimaculata,Twenty-spotted Lady Beetle,species,10,3828
244084,244085,Cryptolaemus montrouzieri,Mealybug Destroyer,species,10,3816
69203,69204,Calvia quatuordecimguttata,Cream-spotted Ladybird,species,10,3813
207647,333796,Illeis,Illeis,genus,20,3740
418187,333796,Eriopis,Eriopis,genus,20,3682
120282,68761,Chilocorus stigma,Twice-stabbed Lady Beetle,species,10,3633
475616,354096,Scymnini,Dusky Lady Beetles,tribe,25,3609
333707,333708,Coelophora inaequalis,Variable Ladybird Beetle,species,10,3462
243968,243969,Exochomus quadripustulatus,Pine Ladybird,species,10,3180
354799,61791,Henosepilachna vigintioctopunctata,Hadda Beetle,species,10,2943
244626,373659,Halmus,Halmus,genus,20,2869
244625,244626,Halmus chalybeus,Steelblue Lady Beetle,species,10,2722
132004,475616,Scymnus,Scymnus,genus,20,2687
128712,51703,Coccinella californica,California Lady Beetle,species,10,2610
1038541,354096,Brachiacanthini,Brachiacanthini,tribe,25,2565
207648,207647,Illeis galbula,Fungus-eating ladybird,species,10,2505
173300,1038541,Brachiacantha,Spurleg Lady Beetles,genus,20,2461
418185,418187,Eriopis connexa,Eriopis connexa,species,10,2449
56735,333796,Oenopia,Oenopia,genus,20,2439
475799,354096,Hyperaspidini,Hyperaspidini,tribe,25,2338
321535,173177,Anatis ocellata,Eyed Ladybird Beetle,species,10,2279
131990,333796,Tytthaspis,Tytthaspis,genus,20,2263
131985,131990,Tytthaspis sedecimpunctata,16-spot Ladybird,species,10,2247
309685,68761,Chilocorus cacti,Cactus Lady Beetle,species,10,2109
133139,475799,Hyperaspis,Sigil Lady Beetles,genus,20,2066
55492,55490,Cycloneda polita,Western Polished Lady Beetle,species,10,2003
253034,373667,Rhyzobius,Rhyzobius,genus,20,1948
334606,333796,Micraspis,Micraspis,genus,20,1876
56731,56735,Oenopia conglobata,Poplar Ladybird Beetle,species,10,1774
213544,173177,Anatis mali,Eye-spotted Lady Beetle,species,10,1597
326207,69204,Calvia decemguttata,Little Arboreal Lady Beetle,species,10,1596
154559,154560,Epilachna borealis,Squash Lady Beetle,species,10,1593
131091,48487,Harmonia quadripunctata,Cream-streaked Ladybird,species,10,1571
207616,51703,Coccinella trifasciata,Three-banded Lady Beetle,species,10,1569
205977,51703,Coccinella undecimpunctata,Eleven-spotted Ladybird Beetle,species,10,1537
61938,373697,Subcoccinella,Subcoccinella,genus,20,1463
61937,61938,Subcoccinella vigintiquatuorpunctata,24-spot Ladybird,species,10,1449
319695,154560,Epilachna mexicana,Epilachna mexicana,species,10,1411
221381,48988,Hippodamia tredecimpunctata,13-spotted Lady Beetle,species,10,1408
196609,173300,Brachiacantha ursina,Ursine Spurleg Lady Beetle,species,10,1380
174399,333796,Ceratomegilla,Ceratomegilla,genus,20,1345
738534,48486,Ortaliinae,Ortaliinae,subfamily,27,1286
1372119,174399,Ceratomegilla,Ceratomegilla,subgenus,15,1259
326427,333796,Coccinula,Coccinula,genus,20,1227
473042,326427,Coccinula quatuordecimpustulata,Coccinula quatuordecimpustulata,species,10,1196
334609,334606,Micraspis frenata,Striped Ladybird,species,10,1194
126636,68761,Chilocorus renipustulatus,Kidney-spot Ladybird,species,10,1163
243547,48487,Harmonia testudinaria,Tortoise-shelled Ladybird,species,10,1158
133085,333796,Myzia,Myzia,genus,20,1153
375591,373667,Apolinus,Apolinus,genus,20,1144
779238,738534,Noviini,Noviini,tribe,25,1140
641236,779238,Novius,Novius,genus,20,1133
385958,375591,Apolinus lividigaster,Yellow-shouldered Ladybird,species,10,1127
176902,333796,Mulsantina,Mulsantina,genus,20,1124
123596,68761,Chilocorus bipustulatus,Heather Ladybird,species,10,1103
128994,51703,Coccinella transversoguttata,Transverse Lady Beetle,species,10,1009
123827,123830,Cheilomenes lunata,Lunate Lady Beetle,species,10,1003
429924,631924,Vibidia,Vibidia,genus,20,992
429923,429924,Vibidia duodecimguttata,Vibidia duodecimguttata,species,10,983
133141,48988,Hippodamia parenthesis,Parenthesis Lady Beetle,species,10,975
143949,373659,Curinus,Curinus,genus,20,927
497238,253034,Rhyzobius chrysomeloides,Round-keeled Rhyzobius,species,10,909
1372125,1372119,Ceratomegilla notata,Notated Lady Beetle,species,10,883
253035,333796,Neda,Neda,genus,20,879
57871,51703,Coccinella quinquepunctata,5-spotted Lady Beetle,species,10,852
143948,143949,Curinus coeruleus,Metallic Blue Lady Beetle,species,10,836
213542,173177,Anatis labiculata,Fifteen-spotted Lady Beetle,species,10,827
498267,207647,Illeis koebelei,Yellow Ladybird Beetle,species,10,817
225295,176902,Mulsantina picta,Painted Ladybird,species,10,804
1065202,641236,Novius cardinalis,Vedalia Beetle,species,10,746
424391,61791,Henosepilachna argus,Bryony Ladybird,species,10,738
61530,61533,Propylea japonica,Turtle Vein Lady Beetle,species,10,729
375992,333796,Cleobora,Cleobora,genus,20,722
387681,375992,Cleobora mellyi,Tasmanian Ladybird,species,10,719
320355,48487,Harmonia dimidiata,Greater Asian Lady Beetle,species,10,705
253033,373667,Azya,Azya,genus,20,702
415505,154560,Epilachna tredecimnotata,Southern Squash Lady Beetle,species,10,686
219319,154560,Epilachna varivestis,Mexican Bean Beetle,species,10,680
172918,373659,Axion,Axion,genus,20,653
133066,133085,Myzia oblongoguttata,Striped Ladybird,species,10,652
325555,333796,Myrrha,Myrrha,genus,20,644
318777,325555,Myrrha octodecimguttata,18-spot Ladybird,species,10,642
309019,54467,Psyllobora renifer,Kidney-spotted Fairy Lady Beetle,species,10,589
705039,333708,Coelophora saucia,Coelophora saucia,species,10,568
488057,333796,Aphidecta,Aphidecta,genus,20,547
488056,488057,Aphidecta obliterata,Larch Lady Beetle,species,10,546
889310,418187,Eriopis chilensis,Eriopis chilensis,species,10,544
130576,333796,Anisosticta,Anisosticta,genus,20,541
176862,333796,Naemia,Naemia,genus,20,523
225438,176862,Naemia seriata,Seaside Lady Beetle,species,10,520
481777,55490,Cycloneda emarginata,Cycloneda emarginata,species,10,495
320335,172918,Axion plagiatum,Twice-struck Lady Beetle,species,10,486
368264,48487,Harmonia octomaculata,Maculate Ladybird,species,10,466
221380,48988,Hippodamia quinquesignata,American Five-spotted Lady Beetle,species,10,439
213543,173177,Anatis lecontei,LeConte's Giant Lady Beetle,species,10,426
373690,354096,Diomini,Diomini,tribe,25,425
173808,373690,Diomus,Diomus,genus,20,417
473780,243969,Exochomus childreni,Exochomus childreni,species,10,394
491987,373697,Chnootriba,Chnootriba,genus,20,386
130575,130576,Anisosticta novemdecimpunctata,Water Ladybird,species,10,381
136563,51703,Coccinella novemnotata,Nine-spotted Lady Beetle,species,10,381
572670,354096,Platynaspidini,Platynaspidini,tribe,25,375
490612,51703,Coccinella magnifica,Scarce Seven-spotted Ladybird Beetle,species,10,368
1372137,1372119,Ceratomegilla undecimnotata,Ceratomegilla undecimnotata,species,10,368
429587,334606,Micraspis discolor,Discolored Lady Beetle,species,10,350
343123,572670,Platynaspis,Platynaspis,genus,20,349
872198,333708,Coelophora biplagiata,Coelophora biplagiata,species,10,348
207617,207616,Coccinella trifasciata subversa,Pacific Three-banded Lady Beetle,subspecies,5,341
221376,48988,Hippodamia glacialis,Glacial Lady Beetle,species,10,338
779246,354096,Stethorini,Stethorini,tribe,25,337
211369,779246,Stethorus,Mite-Destroying Lady Beetles,genus,20,336
473861,48486,Sticholotidinae,Sticholotidinae,subfamily,27,329
473818,253033,Azya orbigera,Globe-marked Lady Beetle,species,10,327
566518,123830,Cheilomenes sulphurea,Sulfurous Lady Beetle,species,10,316
176696,475616,Nephus,Nephus,genus,20,307
460288,123830,Cheilomenes propinqua,Striped Lady Beetle,species,10,305
448283,373659,Orcus,Orcus,genus,20,300
225428,133085,Myzia pullata,Streaked Lady Beetle,species,10,299
782629,55490,Cycloneda ancoralis,Cycloneda ancoralis,species,10,299
975680,373659,Parexochomus,Parexochomus,genus,20,285
272002,253034,Rhyzobius lophanthae,Rhyzobius lophanthae,species,10,281
209825,173177,Anatis rathvoni,Flying Saucer Lady Beetle,species,10,281
243999,68761,Chilocorus nigritus,Chilocorus nigritus,species,10,276
481873,126268,Coleomegilla quadrifasciata,Coleomegilla quadrifasciata,species,10,271
1236212,975680,Parexochomus nigromaculatus,Flashlight Shield Lady Beetle,species,10,270
176758,333796,Neoharmonia,Neoharmonia,genus,20,270
311633,54467,Psyllobora borealis,Western Fairy Lady Beetle,species,10,262
343122,343123,Platynaspis luteorubra,Ant-nest Ladybird,species,10,261
320454,221380,Hippodamia quinquesignata ambigua,Pacific Five-spotted Lady Beetle,subspecies,5,253
357526,333796,Aiolocaria,Aiolocaria,genus,20,249
342425,333796,Bothrocalvia,Bothrocalvia,genus,20,244
357525,357526,Aiolocaria hexaspilota,Aiolocaria hexaspilota,species,10,241
221986,133139,Hyperaspis bigeminata,Bigeminate Sigil Lady Beetle,species,10,241
343143,132004,Scymnus interruptus,Red-flanked Scymnus,species,10,235
