session_leaderboard,user,username,user_leaderboard,date,ids
0,1485790,cpu,8,2021-12-02,1952
1,1442162,rob-westerduijn,2,2020-08-23,1209
2,1442162,rob-westerduijn,2,2020-06-21,1080
3,1442162,rob-westerduijn,2,2021-05-15,966
4,6971,silversea_starsong,6,2016-12-27,924
5,1485790,cpu,8,2021-12-09,834
6,1442162,rob-westerduijn,2,2020-07-26,779
7,1442162,rob-westerduijn,2,2021-01-19,764
8,463097,richyfourtytwo,1,2021-09-26,749
9,1485790,cpu,8,2022-11-15,704
10,1442162,rob-westerduijn,2,2020-06-28,670
11,1442162,rob-westerduijn,2,2021-02-07,666
12,1442162,rob-westerduijn,2,2020-10-15,662
13,463097,richyfourtytwo,1,2021-06-15,646
14,1442162,rob-westerduijn,2,2021-04-28,620
15,1442162,rob-westerduijn,2,2021-05-12,605
16,1442162,rob-westerduijn,2,2021-01-30,603
17,1442162,rob-westerduijn,2,2020-10-07,597
18,1442162,rob-westerduijn,2,2020-10-29,571
19,1442162,rob-westerduijn,2,2020-10-10,556
20,297834,kt_woods,9,2021-08-23,553
21,463097,richyfourtytwo,1,2021-06-16,550
22,1598908,artois,46,2019-05-02,548
23,579740,alex_cicindela_guy,15,2019-01-25,545
24,1442162,rob-westerduijn,2,2021-02-11,538
25,1442162,rob-westerduijn,2,2020-10-27,536
26,1442162,rob-westerduijn,2,2021-05-27,512
27,1442162,rob-westerduijn,2,2019-05-09,511
28,1442162,rob-westerduijn,2,2022-01-13,503
29,463097,richyfourtytwo,1,2021-06-13,495
30,1442162,rob-westerduijn,2,2020-08-24,487
31,1442162,rob-westerduijn,2,2020-06-22,481
32,1442162,rob-westerduijn,2,2020-06-15,481
33,463097,richyfourtytwo,1,2021-07-05,463
34,463097,richyfourtytwo,1,2021-06-21,463
35,1442162,rob-westerduijn,2,2020-06-02,461
36,115129,aguilita,13,2019-12-24,461
37,463097,richyfourtytwo,1,2021-07-06,451
38,2032840,ghostburglar,12,2021-03-03,443
39,463097,richyfourtytwo,1,2021-05-22,443
40,463097,richyfourtytwo,1,2021-10-10,439
41,1442162,rob-westerduijn,2,2020-09-06,438
42,1485790,cpu,8,2021-11-30,437
43,463097,richyfourtytwo,1,2021-06-23,435
44,1442162,rob-westerduijn,2,2020-08-08,434
45,1442162,rob-westerduijn,2,2020-08-27,431
46,463097,richyfourtytwo,1,2020-04-25,424
47,463097,richyfourtytwo,1,2021-06-18,424
48,1442162,rob-westerduijn,2,2020-06-14,424
49,297834,kt_woods,9,2021-09-12,421
50,1442162,rob-westerduijn,2,2020-08-22,420
51,463097,richyfourtytwo,1,2021-06-11,420
52,463097,richyfourtytwo,1,2021-07-02,417
53,463097,richyfourtytwo,1,2021-07-12,416
54,463097,richyfourtytwo,1,2021-10-05,415
55,463097,richyfourtytwo,1,2021-10-12,415
56,463097,richyfourtytwo,1,2021-06-29,414
57,463097,richyfourtytwo,1,2021-06-30,412
58,463097,richyfourtytwo,1,2021-06-17,404
59,1442162,rob-westerduijn,2,2020-05-31,403
60,463097,richyfourtytwo,1,2021-10-11,399
61,463097,richyfourtytwo,1,2021-07-01,397
62,1442162,rob-westerduijn,2,2019-05-28,396
63,1442162,rob-westerduijn,2,2020-07-16,384
64,463097,richyfourtytwo,1,2021-06-24,379
65,463097,richyfourtytwo,1,2021-06-06,377
66,463097,richyfourtytwo,1,2021-09-27,370
67,463097,richyfourtytwo,1,2021-07-03,369
68,463097,richyfourtytwo,1,2021-10-06,367
69,463097,richyfourtytwo,1,2021-10-14,360
70,34728,cosmiccat,14,2020-09-15,360
71,463097,richyfourtytwo,1,2021-05-07,359
72,1442162,rob-westerduijn,2,2021-07-18,356
73,463097,richyfourtytwo,1,2021-05-04,356
74,463097,richyfourtytwo,1,2021-10-04,349
75,463097,richyfourtytwo,1,2021-08-06,343
76,463097,richyfourtytwo,1,2021-06-01,342
77,463097,richyfourtytwo,1,2021-10-02,341
