identifier,username,total,frac_species,species,frac_genus,genus,frac_tribe,tribe,frac_subfamily,subfamily,frac_family,family
463097,richyfourtytwo,65109,0.858990309,55928,0.045600455,2969,0.087914113,5724,0.000414689,27,0.007080434,461
1442162,rob-westerduijn,37487,0.99693227,37372,0.001333796,50,8.00E-05,3,0.001147064,43,0.000506842,19
2116455,davidenrique,19244,0.990802328,19067,0.005560175,107,0.000103928,2,0.000155893,3,0.003377676,65
1012326,dusty_in_vilas-tx,14508,0.966156603,14017,0.023642128,343,0.003377447,49,0.004824924,70,0.001998897,29
2249019,elytrid,12954,0.964180948,12490,0.006330091,82,0.017909526,232,0.002393083,31,0.009186352,119
6971,silversea_starsong,9265,0.932649757,8641,0.052455478,486,0.001295197,12,0.011117107,103,0.002482461,23
180811,borisb,8723,0.771065001,6726,0.09744354,850,0.046085062,402,0.024532844,214,0.060873553,531
1485790,cpu,8696,0.796228151,6924,0.098436063,856,0.040363385,351,0.053357866,464,0.011614535,101
297834,kt_woods,6635,0.915146948,6072,0.057121326,379,0.020346647,135,0.001356443,9,0.006028636,40
261069,franciscoacos,6104,0.715432503,4367,0.152031455,928,0.027195282,166,0.047346003,289,0.057994758,354
22589,sambiology,6006,0.965034965,5796,0.004662005,28,0.000999001,6,0.0004995,3,0.028804529,173
2032840,ghostburglar,5981,0.984952349,5891,0.006186256,37,0.003176726,19,0,0,0.005684668,34
115129,aguilita,5471,0.99341985,5435,0.001827819,10,0.000365564,2,0.000365564,2,0.004021203,22
34728,cosmiccat,4202,0.996192289,4186,0,0,0,0,0,0,0.003807711,16
579740,alex_cicindela_guy,4055,0.975832306,3957,0.014796547,60,0.000246609,1,0,0,0.009124538,37
3720783,sammydstecher,4041,0.920564217,3720,0.027715912,112,0.002474635,10,0.004454343,18,0.044790893,181
242224,malisaspring,3930,0.761068702,2991,0.042493639,167,0.010941476,43,0.01043257,41,0.175063613,688
775455,iosialectus,3837,0.931456867,3574,0.062809487,241,0.003909304,15,0.00026062,1,0.001563722,6
2207499,willogonzalez,3170,0.812302839,2575,0.126182965,400,0.042586751,135,0.007570978,24,0.011356467,36
1809393,jtkindt,3117,0.972730189,3032,0.018607636,58,0.001604107,5,0.000641643,2,0.006416426,20
706076,crawlingworld,3110,0.972025723,3023,0.018649518,58,0.001607717,5,0.000643087,2,0.007073955,22
18701,apgarm,2851,0.991231147,2826,0.002806033,8,0.000350754,1,0,0,0.005612066,16
1397024,emiliapenaherrera,2484,0.668679549,1661,0.171900161,427,0.055152979,137,0.010064412,25,0.094202899,234
270883,lazarus,2449,0.99959167,2448,0.00040833,1,0,0,0,0,0,0
331926,erininmd,2336,0.979452055,2288,0.002140411,5,0.000856164,2,0,0,0.01755137,41
382941,lrubio7,2211,0.896426956,1982,0.042514699,94,0.017639077,39,0.018995929,42,0.024423338,54
794489,lltimms,2175,0.970574713,2111,0.011494253,25,0.00091954,2,0.00091954,2,0.016091954,35
1454648,r-a-p,2073,0.945007236,1959,0.016883743,35,0.000964785,2,0.001929571,4,0.035214665,73
2343836,josefloribundus,2010,0.757711443,1523,0.168159204,338,0.058706468,118,0.008457711,17,0.006965174,14
80984,kimssight,1975,0.940759494,1858,0.012658228,25,0.000506329,1,0.001518987,3,0.044556962,88
980404,jilliankern,1712,0.914719626,1566,0.054906542,94,0.001168224,2,0.004672897,8,0.02453271,42
85164,catenatus,1550,0.961935484,1491,0.014193548,22,0.001290323,2,0.001290323,2,0.021290323,33
81261,biohexx1,1537,0.920624593,1415,0.027976578,43,0.001301236,2,0.002602472,4,0.04749512,73
1163777,trinaroberts,1488,0.913306452,1359,0.065860215,98,0.012096774,18,0.004032258,6,0.004704301,7
736966,jbar82,1426,0.943899018,1346,0.016830295,24,0.001402525,2,0,0,0.037868163,54
4034966,prairiebeeman,1394,0.973457676,1357,0.020086083,28,0.00143472,2,0.00071736,1,0.004304161,6
3380195,enricotosto96,1352,0.821005917,1110,0.085798817,116,0.069526627,94,0.003698225,5,0.019970414,27
3499188,danielaaquino,1315,0.966539924,1271,0.02661597,35,0.003041825,4,0,0,0.003802281,5
23520,entomike,1303,0.953184958,1242,0.032233308,42,0.002302379,3,0.006139678,8,0.006139678,8
479031,dbmcc09,1247,0.992782678,1238,0.001603849,2,0.000801925,1,0.002405774,3,0.002405774,3
16700,anieve_bestiole,1212,0.981848185,1190,0.00660066,8,0.007425743,9,0.004125413,5,0,0
792319,djringer,1178,0.975382003,1149,0.007640068,9,0,0,0,0,0.016977929,20
736005,ludoleclerc,1168,0.979452055,1144,0.018835616,22,0.000856164,1,0,0,0.000856164,1
52839,glmory,1129,0.926483614,1046,0.02214349,25,0,0,0.001771479,2,0.049601417,56
1453678,marina_gorbunova,1112,0.146582734,163,0.007194245,8,0.011690647,13,0.085431655,95,0.749100719,833
1598908,artois,1104,1,1104,0,0,0,0,0,0,0,0
548881,siwanicki,1085,0.962211982,1044,0.028571429,31,0.001843318,2,0,0,0.007373272,8
165078,edanko,1022,0.776908023,794,0.175146771,179,0.002935421,3,0.016634051,17,0.028375734,29
2788422,chickenparmesan24,996,0.946787149,943,0.023092369,23,0.017068273,17,0,0,0.013052209,13
2000059,buzzman,992,0.891129032,884,0.054435484,54,0.007056452,7,0.019153226,19,0.028225806,28
477,loarie,972,0.872427984,848,0.04218107,41,0.001028807,1,0.001028807,1,0.083333333,81
20707,thebals,945,0.17037037,161,0.025396825,24,0.001058201,1,0.011640212,11,0.791534392,748
10814,smartrf,914,0.554704595,507,0.094091904,86,0.059080963,54,0.012035011,11,0.280087527,256
701556,kathrynwells333,908,0.984581498,894,0.009911894,9,0.004405286,4,0,0,0.001101322,1
612949,diegoalmendras,893,0.901455767,805,0.073908175,66,0.001119821,1,0.001119821,1,0.022396417,20
16131,kschnei,881,0.7446084,656,0.116912599,103,0.003405221,3,0.004540295,4,0.130533485,115
275627,ericwilliams,864,0.966435185,835,0.008101852,7,0,0,0.001157407,1,0.024305556,21
490794,highwaytohellgrammite,864,0.989583333,855,0.001157407,1,0,0,0.001157407,1,0.008101852,7
3695873,carabid_47,843,0.960854093,810,0.03202847,27,0.00118624,1,0,0,0.005931198,5
350225,kalamurphyking,836,0.991626794,829,0,0,0,0,0,0,0.008373206,7
3113652,data_nerd,834,0.995203837,830,0.002398082,2,0.002398082,2,0,0,0,0
472970,upupa-epops,830,0.908433735,754,0.059036145,49,0,0,0.018072289,15,0.014457831,12
10787,maractwin,813,0.923739237,751,0.003690037,3,0,0,0,0,0.072570726,59
1209443,mariela1,790,0.544303797,430,0.317721519,251,0.030379747,24,0.003797468,3,0.103797468,82
306991,tigerbb,767,0.893089961,685,0.016949153,13,0,0,0.024771838,19,0.065189048,50
1579828,weecorbie,766,0.960835509,736,0.020887728,16,0,0,0.002610966,2,0.015665796,12
3231537,spencerchau,690,0.979710145,676,0.004347826,3,0.010144928,7,0,0,0.005797101,4
206,lfelliott,682,0.948680352,647,0.001466276,1,0,0,0.001466276,1,0.048387097,33
198686,e-aus-kanada,675,0.968888889,654,0.014814815,10,0,0,0.002962963,2,0.013333333,9
40730,poncho,654,0.958715596,627,0.021406728,14,0,0,0,0,0.019877676,13
3711599,sanpa,631,0.480190174,303,0.210776545,133,0.064976228,41,0.057052298,36,0.187004754,118
12809,cedric_lee,615,0.998373984,614,0,0,0,0,0.001626016,1,0,0
6333,darinjm7,609,0.906403941,552,0.019704433,12,0.001642036,1,0,0,0.072249589,44
317,kpmcfarland,601,0.845257903,508,0.079866889,48,0.011647255,7,0.009983361,6,0.053244592,32
293449,mws,600,0.938333333,563,0.016666667,10,0.001666667,1,0,0,0.043333333,26
144,trekman,594,0.897306397,533,0.013468013,8,0,0,0.003367003,2,0.085858586,51
13200,d_kluza,584,0.813356164,475,0.011986301,7,0.001712329,1,0.008561644,5,0.164383562,96
19404,cgritz,573,0.914485166,524,0.006980803,4,0.003490401,2,0.001745201,1,0.073298429,42
2588867,plex_is,567,0.927689594,526,0,0,0,0,0,0,0.072310406,41
28,tiwane,566,0.823321555,466,0.001766784,1,0.003533569,2,0.005300353,3,0.166077739,94
281081,wayne_fidler,553,0.90596745,501,0.009041591,5,0,0,0,0,0.084990958,47
541847,billhubick,544,1,544,0,0,0,0,0,0,0,0
59227,lisa_bennett,530,0.320754717,170,0.005660377,3,0,0,0.003773585,2,0.669811321,355
927137,josev_ge,527,0.690702087,364,0.032258065,17,0.001897533,1,0.001897533,1,0.273244782,144
3019747,mydadguyfieri,518,0.602316602,312,0.015444015,8,0.175675676,91,0.021235521,11,0.185328185,96
1120841,beetle_mch,515,0.52038835,268,0.003883495,2,0.001941748,1,0.001941748,1,0.47184466,243
118888,hill_jasonm,512,0.890625,456,0.07421875,38,0.001953125,1,0.001953125,1,0.03125,16
697177,reinerjakubowski,511,0.960861057,491,0.015655577,8,0,0,0,0,0.023483366,12
107551,nbdragonflyguy,500,0.982,491,0.016,8,0,0,0.002,1,0,0
435598,jeffmci9,495,0.991919192,491,0,0,0,0,0,0,0.008080808,4
517712,i_fox,494,0.98582996,487,0.010121457,5,0.002024291,1,0,0,0.002024291,1
10285,finatic,492,0.87398374,430,0.004065041,2,0.00203252,1,0.00203252,1,0.117886179,58
424633,zoology123,468,0.895299145,419,0.010683761,5,0.006410256,3,0.002136752,1,0.085470085,40
1896177,raycama,447,0.031319911,14,0.031319911,14,0.008948546,4,0.006711409,3,0.921700224,412
716083,nickbedard,436,0.786697248,343,0.089449541,39,0.01146789,5,0.009174312,4,0.103211009,45
1093166,formica,436,1,436,0,0,0,0,0,0,0,0
2635156,gonzatrucco,421,0.985748219,415,0.002375297,1,0,0,0,0,0.011876485,5
89253,cratzlaff,415,0.956626506,397,0.038554217,16,0,0,0.002409639,1,0.002409639,1
